time_sn,ctrlong,ctrlatr,ax_m_s2,ay_m_s2,az_m_s2,p_rad_s,q_rad_s,r_rad_s,quat_e0,quat_ex,quat_ey,quat_ez,alpha_rad,beta_rad,tas_m_s,de_rad,dr_rad,da_rad,mass_kg,thrust_N,lat_rad,lon_rad,alt_m
0,1,1,-0.658653700673087,0,-4.89153654190929,0,0,0,1,0,0,0,0,0,27,-0,0,0,10.5,2.77575876096763,0.785398163397448,-2.12930168743308,1000
0.02,1,1,-0.620884692880311,-2.62619347018191e-05,-5.52798017294345,-0.0124730373525193,0.0767478809077715,-0.000660115108719634,0.999999918976254,-6.7124800650887e-05,0.000416354841397775,-3.93952042084921e-06,0.00423636878400695,7.18089465012594e-06,26.9873168045429,0.127594230893368,0,-0.000134344797479371,10.4999993629243,2.98369735721033,0.78539824817102,-2.12930168743309,999.999060667079
0.04,1,1,-0.575836928454207,5.15675865894782e-05,-6.20020521333859,-0.0202295682485516,0.118655820280983,-0.000710722110924787,0.999998975040702,-0.000233944546939968,0.00142050371038528,-1.11974254005733e-05,0.00916770532116765,1.73250526010913e-05,26.975513804203,0.119504190500593,0,-0.000468589965720198,10.4999987245707,3.176875320617,0.785398332905299,-2.12930168743317,999.996413382932
0.06,1,1,-0.52575797299742,0.00039010441625941,-6.8427646483117,-0.0247101060396692,0.130232504182539,-0.00038620417612103,0.999996297023804,-0.000460930227385738,0.00268665512241564,-1.68903281414816e-05,0.0141327972558454,1.85942696621231e-05,26.9644461218933,0.112821086834657,0,-0.000924003421040565,10.4999980850379,3.35635956847937,0.785398417602293,-2.12930168743351,999.992323684184
0.08,1,1,-0.470333258022839,0.00106332194629464,-7.37216958925006,-0.0269233831221659,0.126071251592125,0.000145013487542892,0.99999185118267,-0.000720659687021451,0.00397526743085057,-1.81067387133572e-05,0.0187139582720431,4.63478543715771e-06,26.9540664481087,0.106571942104147,0,-0.00144589563357932,10.4999974444173,3.52298919436825,0.785398502263996,-2.12930168743438,999.987043077479
0.1,1,1,-0.417274301075892,0.00208736997429711,-7.83324666389581,-0.0275802728180578,0.114484693452323,0.000763842775092098,0.999986083784663,-0.00099421375415198,0.00518345407832133,-1.33761211448318e-05,0.0227680882923227,-2.70809401398238e-05,26.9443112885011,0.100922281757326,0,-0.00199647243653071,10.4999968027937,3.677611182808,0.78539858689247,-2.12930168743609,999.980785308556
0.12,1,1,-0.36858398689079,0.0034413120466243,-8.21906134137952,-0.0271846308168637,0.0973549103687671,0.00138690864458408,0.99997969759993,-0.00126868460740132,0.00624652749484678,-2.22817408597442e-06,0.0262185137302285,-7.6556254358695e-05,26.9350873000844,0.0961760774925309,0,-0.00254989943482821,10.4999961602458,3.82110072449236,0.785398671489628,-2.129301687439,999.973734284877
0.14,1,1,-0.325755186735272,0.00508119302433324,-8.52667860873563,-0.0260956999030425,0.0765053250617254,0.00195697080004366,0.99997349813521,-0.00153543886306225,0.0071182334135232,1.51200317484619e-05,0.0290294142650255,-0.000142181780997785,26.9263198560872,0.092150546313405,0,-0.00308886226179747,10.4999955168466,3.9542600939531,0.785398756057178,-2.12930168744344,999.966044081568
0.16,1,1,-0.289710637661699,0.00695010232976149,-8.75738900112586,-0.0245710318510434,0.0536483285383296,0.0024361397202846,0.999968223688204,-0.00178890011615951,0.00777006294874559,3.7983225853558e-05,0.0312011723574665,-0.000221382539728224,26.9179521595246,0.08867071283697,0,-0.00360215451118725,10.4999948726636,4.07782121391625,0.785398840596636,-2.12930168744975,999.957837736939
0.18,1,1,-0.260780101243988,0.00898523427266945,-8.91595840067214,-0.0227960266836554,0.0303138966002772,0.0028009376002351,0.999964421288107,-0.00202568900502591,0.00818976915743491,6.53670712991279e-05,0.0327645311381476,-0.000311072010701249,26.9099431631145,0.0855814672713742,0,-0.00408297041312827,10.4999942277596,4.19245105709377,0.785398925109345,-2.12930168745821,999.949207724895
0.2,1,1,-0.23873324959665,0.0111227470220435,-9.00981119345074,-0.0209092600150502,0.00779824392411336,0.00303837071917734,0.999962382756038,-0.00224402666802986,0.00837926767609878,9.60847364883738e-05,0.0337740964902366,-0.000407964299128361,26.9022651474317,0.0827511254579364,0,-0.00452771608084201,10.4999935819416,4.29900810420707,0.785399009596498,-2.12930168746908,999.940217814423
0.22,1,1,-0.222917066691422,0.0133010590004992,-9.04820740243172,-0.0190089281493841,-0.0128651199886044,0.0031438533093393,0.999962139013221,-0.00244332952694103,0.00835213695938689,0.00012884412076481,0.0343016480400479,-0.000508785540038751,26.894901464288,0.0800699095445906,0,-0.00493519771660461,10.4999929350243,4.39826214656924,0.785399094059172,-2.12930168748254,999.930905993838
0.24,1,1,-0.21241620715334,0.0154629155896193,-9.0414747057657,-0.017160069733028,-0.0309171628437066,0.00311912567119636,0.999963500201432,-0.0026238128709638,0.00813091875346058,0.000162320455280211,0.034429637470703,-0.000610418741919934,26.8878433699666,0.0774592375590533,0,-0.00530582385609768,10.4999922870902,4.49065717389697,0.785399178498352,-2.12930168749873,999.921288135764
0.26,1,1,-0.206162648642614,0.0175565726611219,-9.00029449784873,-0.0154083517698979,-0.0458676720364541,0.00297020579058112,0.999966123283251,-0.0027862422365149,0.00774438844351385,0.000195208420138085,0.0342451847730353,-0.000709989233314675,26.8810875275038,0.0748651814716703,0,-0.00564110203276832,10.4999916382176,4.57660411130859,0.785399262914958,-2.12930168751777,999.911362094186
0.28,1,1,-0.203055864706499,0.0195364337232183,-8.93509403456708,-0.0137848275431062,-0.0574743700742226,0.00270624086146716,0.99996958863119,-0.0029317644074039,0.00722496123134128,0.000226261894920604,0.0338348418145241,-0.000804914712774815,26.8746340644178,0.0722530283962469,0,-0.00594329548241806,10.4999909884792,4.65648696050116,0.785399347309862,-2.12930168753969,999.901111948952
0.3,1,1,-0.202055933888442,0.0213633235442354,-8.85556121161025,-0.0123094006293817,-0.0657116026074686,0.00233860828046341,0.999973470452465,-0.00306177888076745,0.00660636306025717,0.000254325054762663,0.033280295621243,-0.000892932881711309,26.868484998186,0.0696036970298234,0,-0.00621516271827454,10.4999903379425,4.73066666983306,0.785399431683906,-2.12930168756453,999.890512154322
0.32,1,1,-0.202245955235454,0.0230045275450264,-8.7702847634916,-0.0109934070116643,-0.070732594346762,0.00188020253342876,0.999977391147966,-0.00317783924416771,0.00592164972099239,0.000278356191892284,0.0326550862527879,-0.000972114195152263,26.8626429999462,0.0669104293543432,0,-0.00645975935497179,10.4999896866702,4.79948424258406,0.785399516037915,-2.12930168759229,999.87953139687
